"Site_ID","Study","General_Location","Specific_Location","State","Region","Latitude","Longitude","Collaborator","Matrix","Scientific_Name","Calendar_Year","Unit","Laboratory","TechMemo_Group","Sum","Count"
"BHDI","Mussel Watch","Boston Harbor","Deer Island","Massachusetts","North Atlantic Coast",42.3573057818576,-70.973,"","Mussel","Mytilus edulis","2016","ng/dry g","TDI-BI","Total PAHs",437.7414,39
"BHHB","Mussel Watch","Boston Harbor","Hingham Bay","Massachusetts","North Atlantic Coast",42.276,-70.8833057881331,"","Mussel","Mytilus edulis","2016","ng/dry g","TDI-BI","Total PAHs",314.7399,39
"BIBI","Mussel Watch","Block Island Sound","Block Island","Rhode Island","North Atlantic Coast",41.1981941361328,-71.5921941361328,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",962.48,39
"BIBL","Mussel Watch","Barnegat Inlet","Barnegat Light","New Jersey","North Atlantic Coast",39.7616941384802,-74.095,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",1445.428,39
"BIPI","Mussel Watch","Beaufort Inlet","Pivers Island","North Carolina","South Atlantic Coast",34.7183104808911,-76.6755,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1469.972,39
"CAKP","Mussel Watch","Cape Arundel","Kennebunkport","Maine","North Atlantic Coast",43.3453063968013,-70.4743063968013,"","Mussel","Mytilus edulis","2016","ng/dry g","TDI-BI","Total PAHs",79.4601,39
"CBBH","Mussel Watch","Chesapeake Bay","Brick House","Maryland","South Atlantic Coast",38.93859833,-76.37976333,"","Mussel","Geukensia demissa","2015","ng/dry g","TDI-BI","Total PAHs",152.6836,39
"CBBH","Mussel Watch","Chesapeake Bay","Brick House","Maryland","South Atlantic Coast",38.93859833,-76.37976333,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",55.0876,39
"CBBI","Mussel Watch","Charlotte Harbor","Bird Island","Florida","Gulf Coast",26.5143041065325,-82.0345,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",103.306,39
"CBBO","Mussel Watch","Chesapeake Bay","Bodkin Point","Maryland","South Atlantic Coast",39.1573135670192,-76.4048135670192,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",2047.989,39
"CBBO","Mussel Watch","Chesapeake Bay","Bodkin Point","Maryland","South Atlantic Coast",39.1573135670192,-76.4048135670192,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",309.0659,39
"CBCC","Mussel Watch","Chesapeake Bay","Cape Charles","Virginia","South Atlantic Coast",37.2845,-76.0153056868893,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",762.943,39
"CBCH","Mussel Watch","Coos Bay","Coos Head","Oregon","Pacific Coast",43.35,-124.330805952959,"","Mussel","Mytilus species","2019","ng/dry g","TDI-BI","Total PAHs",152.861,39
"CBCI","Mussel Watch","Chincoteague Bay","Chincoteague Inlet","Virginia","South Atlantic Coast",37.9385,-75.3758056168203,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",805.175,39
"CBCP","Mussel Watch","Chesapeake Bay","Choptank River","Maryland","South Atlantic Coast",38.6073130498907,-76.12,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",926.795,39
"CBCP","Mussel Watch","Chesapeake Bay","Choptank River","Maryland","South Atlantic Coast",38.6073130498907,-76.12,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",41.5014,39
"CBCR","Mussel Watch","Copano Bay","Copano Reef","Texas","Gulf Coast",28.142,-97.128,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",27.414,39
"CBDP","Mussel Watch","Chesapeake Bay","Dandy Point","Virginia","South Atlantic Coast",37.0983051054624,-76.2948051054624,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1188.398,39
"CBHG","Mussel Watch","Chesapeake Bay","Hog Point","Maryland","South Atlantic Coast",38.3123071816022,-76.3978071816022,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1482.741,39
"CBHP","Mussel Watch","Chesapeake Bay","Hackett Point Bar","Maryland","South Atlantic Coast",38.9695,-76.414690421544,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1400.613,39
"CBIB","Mussel Watch","Chesapeake Bay","Ingram Bay","Virginia","South Atlantic Coast",37.7938234749502,-76.2843234749502,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1348.237,39
"CBJB","Mussel Watch","Choctawhatchee Bay","Joe's Bayou","Florida","Gulf Coast",30.4108057422079,-86.4908057422079,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",1004.818,39
"CBJR","Mussel Watch","Chesapeake Bay","James River","Virginia","South Atlantic Coast",37.0653057799264,-76.6321942200736,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1371.907,39
"CBMP","Mussel Watch","Chesapeake Bay","Mountain Point Bar","Maryland","South Atlantic Coast",39.072,-76.4126819945824,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",242.5159,39
"CBMP","Mussel Watch","Chesapeake Bay","Mountain Point Bar","Maryland","South Atlantic Coast",39.072,-76.4126819945824,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1815.336,39
"CBPP","Mussel Watch","Choctawhatchee Bay","Postil Point","Florida","Gulf Coast",30.4823058210441,-86.4793058210441,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",350.019,39
"CBRP","Mussel Watch","Coos Bay","Russell Point","Oregon","Pacific Coast",43.4313058091503,-124.221194196078,"","Mussel","Mytilus species","2019","ng/dry g","TDI-BI","Total PAHs",591.542,39
"CBSB","Mussel Watch","Chesapeake Bay","Simon Bar","Maryland","South Atlantic Coast",38.32589333,-76.40762167,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",62.9951,39
"CBSR","Mussel Watch","Choctawhatchee Bay","Off Santa Rosa","Florida","Gulf Coast",30.412,-86.2036967885156,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",23.345,39
"CCDC","Mussel Watch","Corpus Christi","Nueces Bay, Doyle Cove","Texas","Gulf Coast",27.86183,-97.37262,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",61.608,39
"CCNB","Mussel Watch","Corpus Christi","Nueces Bay","Texas","Gulf Coast",27.8521938584936,-97.3598061415064,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",450.947,39
"CCNH","Mussel Watch","Cape Cod","Nauset Harbor","Massachusetts","North Atlantic Coast",41.7958050509546,-69.9461949490454,"","Mussel","Mytilus edulis","2016","ng/dry g","TDI-BI","Total PAHs",69.1837,39
"CCSB","Mussel Watch","Crystal Cove","State Beach","California","Pacific Coast",33.5686086408716,-117.835891343578,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",130.109,39
"CDRF","Mussel Watch","Cardiff Reef","Cardiff Reef","California","Pacific Coast",32.9998894470028,-117.278678919328,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",78.25,39
"CFBI","Mussel Watch","Cape Fear","Battery Island","North Carolina","South Atlantic Coast",33.9158050113191,-78.0035,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",817.813,39
"CHBL","Mussel Watch","Charleston Harbor","Bull Creek","South Carolina","South Atlantic Coast",32.82625,-80.01756,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",1812.0978,39
"CHBL","Mussel Watch","Charleston Harbor","Bull Creek","South Carolina","South Atlantic Coast",32.82625,-80.01756,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",3423.279,39
"CHDL","Mussel Watch","Charleston Harbor","Diesel Creek","South Carolina","South Atlantic Coast",32.81552,-79.9633,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",3796.739,39
"CHDL","Mussel Watch","Charleston Harbor","Diesel Creek","South Carolina","South Atlantic Coast",32.81552,-79.9633,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",1992.547,39
"CHFJ","Mussel Watch","Charleston Harbor","Fort Johnson","South Carolina","South Atlantic Coast",32.7505,-79.9003151334505,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",929.614,39
"CHFJ","Mussel Watch","Charleston Harbor","Fort Johnson","South Carolina","South Atlantic Coast",32.7505,-79.9003151334505,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",258.3657,39
"CHHB","Mussel Watch","Charleston Harbor","Horlbeck Creek","South Carolina","South Atlantic Coast",32.86574,-79.8222,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",818.175,39
"CHHB","Mussel Watch","Charleston Harbor","Horlbeck Creek","South Carolina","South Atlantic Coast",32.86574,-79.8222,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",303.4398,39
"CHMC","Mussel Watch","Charleston Harbor","Metcalf Creek","South Carolina","South Atlantic Coast",32.74609,-79.95354,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",444.8247,39
"CHMC","Mussel Watch","Charleston Harbor","Metcalf Creek","South Carolina","South Atlantic Coast",32.74609,-79.95354,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",1143.888,39
"CHNM","Mussel Watch","Charleston Harbor","New Market Creek","South Carolina","South Atlantic Coast",32.80616,-79.9401,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",3655.6581,39
"CHNM","Mussel Watch","Charleston Harbor","New Market Creek","South Carolina","South Atlantic Coast",32.80616,-79.9401,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",3736.12,39
"CHOG","Mussel Watch","Charleston Harbor","Orange Grove Creek","South Carolina","South Atlantic Coast",32.80548,-79.97748,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",1964.4912,39
"CHOG","Mussel Watch","Charleston Harbor","Orange Grove Creek","South Carolina","South Atlantic Coast",32.80548,-79.97748,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",3134.651,39
"CHRT","Mussel Watch","Charleston Harbor","Rathall Creek","South Carolina","South Atlantic Coast",32.85981,-79.8884,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",1119.207,39
"CHRT","Mussel Watch","Charleston Harbor","Rathall Creek","South Carolina","South Atlantic Coast",32.85981,-79.8884,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",623.5556,39
"CHSF","Mussel Watch","Charleston Harbor","Shutes Folly Island","South Carolina","South Atlantic Coast",32.7735,-79.9121848196856,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",1730.852,39
"CHSF","Mussel Watch","Charleston Harbor","Shutes Folly Island","South Carolina","South Atlantic Coast",32.7735,-79.9121848196856,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",480.7627,39
"CHSH","Mussel Watch","Charleston Harbor","Shipyard Creek","South Carolina","South Atlantic Coast",32.83921,-79.94519,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",13703.067,39
"CHSH","Mussel Watch","Charleston Harbor","Shipyard Creek","South Carolina","South Atlantic Coast",32.83921,-79.94519,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",6294.0775,39
"CHSM","Mussel Watch","Charleston Harbor","Shem Creek","South Carolina","South Atlantic Coast",32.79329,-79.88026,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",1145.9124,39
"CHSM","Mussel Watch","Charleston Harbor","Shem Creek","South Carolina","South Atlantic Coast",32.79329,-79.88026,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",1536.485,39
"CHVR","Mussel Watch","Charleston Harbor","Vardell Creek","South Carolina","South Atlantic Coast",32.8027,-79.93167,"","Oyster","Crassostrea virginica","2015","ng/dry g","TDI-BI","Total PAHs",3011.1005,39
"CHVR","Mussel Watch","Charleston Harbor","Vardell Creek","South Carolina","South Atlantic Coast",32.8027,-79.93167,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",2608.291,39
"CKBP","Mussel Watch","Cedar Key","Black Point","Florida","Gulf Coast",29.2066947257176,-83.0695,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",23.421,39
"CLCL","Mussel Watch","Caillou Lake","Caillou Lake","Louisiana","Gulf Coast",29.2531941131708,-90.9266941131708,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",41.831,39
"CLCP","Mussel Watch","Cape Lookout","Catfish Point","North Carolina","South Atlantic Coast",34.61319,-76.53791,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",944.784666666667,39
"CLLC","Mussel Watch","Calcasieu Lake","Lake Charles","Louisiana","Gulf Coast",30.0586938407061,-93.3075,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",391.349,39
"CLSJ","Mussel Watch","Calcasieu Lake","St. Johns Island","Louisiana","Gulf Coast",29.829,-93.384,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",66.223,39
"CPSB","Mussel Watch","Carpinteria State Beach","Carpinteria State Beach","California","Pacific Coast",34.3871086408716,-119.514,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",3664.565,39
"CRSJ","Mussel Watch","Columbia River","South Jetty","Oregon","Pacific Coast",46.2286927588535,-124.023192765371,"","Mussel","Mytilus species","2019","ng/dry g","TDI-BI","Total PAHs",223.323,39
"DBAP","Mussel Watch","Delaware Bay","Arnolds Point Shoal","New Jersey","North Atlantic Coast",39.3833057923629,-75.45,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1184.947,39
"DBBD","Mussel Watch","Delaware Bay","Ben Davis Pt. Shoal","New Jersey","North Atlantic Coast",39.2523058766904,-75.3028058766904,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1207.603,39
"DBCI","Mussel Watch","Duxbury Bay","Clarks Island","Massachusetts","North Atlantic Coast",42.0136943350777,-70.6365,"","Mussel","Mytilus edulis","2016","ng/dry g","TDI-BI","Total PAHs",1052.4322,39
"DBCM","Mussel Watch","Delaware Bay","Cape May","New Jersey","North Atlantic Coast",38.9821936635864,-74.9613063364136,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",40793.794,39
"DBFE","Mussel Watch","Delaware Bay","False Egg Island Point","New Jersey","North Atlantic Coast",39.2116912077202,-75.1916912077202,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1416.264,39
"DBHC","Mussel Watch","Delaware Bay","Hope Creek","New Jersey","North Atlantic Coast",39.4266839816138,-75.4933160183862,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",737.689,39
"DNPT","Mussel Watch","Dana Point","Dana Point","California","Pacific Coast",33.4602827234404,-117.7095,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",123.017,39
"FBFO","Mussel Watch","Florida Bay","Flamingo","Florida","South Atlantic Coast",25.1411888161443,-80.9236888161443,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",971.484,39
"FBJB","Mussel Watch","Florida Bay","Joe Bay","Florida","South Atlantic Coast",25.2121886426331,-80.534,"","Oyster","Crassostrea virginica","2020","ng/dry g","TDI-BI","Total PAHs",765.565,39
"GBBS","Mussel Watch","Green Bay","Bayshore Park","Wisconsin","Great Lakes",44.637,-87.8081933275996,"","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",251.508,39
"GBCR","Mussel Watch","Galveston Bay","Confederate Reef","Texas","Gulf Coast",29.2633061106858,-94.9163061106859,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",115.416,39
"GBHR","Mussel Watch","Galveston Bay","Hanna Reef","Texas","Gulf Coast",29.4803061106858,-94.7418061106858,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",96.061,39
"GBOB","Mussel Watch","Galveston Bay","Offatts Bayou","Texas","Gulf Coast",29.284,-94.8363057916605,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",2453.739,39
"GBTD","Mussel Watch","Galveston Bay","Todd's Dump","Texas","Gulf Coast",29.503,-94.896,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",967.412,39
"GBYC","Mussel Watch","Galveston Bay","Yacht Club","Texas","Gulf Coast",29.622,-94.9958060260112,"","Oyster","Crassostrea virginica","2017","ng/dry g","TDI-BI","Total PAHs",876.628,39
"HRFW","Mussel Watch","Hudson/Raritan Estuary","Fort Wadsworth","New York","North Atlantic Coast",40.6149830181818,-74.0614113212121,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",3848.413,39
"HRLB","Mussel Watch","Hudson/Raritan Estuary","Lower Bay","New York","North Atlantic Coast",40.566,-74.0508071393409,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",3803.197,39
"HRRP","Mussel Watch","Hudson/Raritan Estuary","Hudson River Park Pier 40","New York","North Atlantic Coast",40.728237,-74.012581,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",6188.03,39
"IBNJ","Mussel Watch","Imperial Beach","North Jetty","California","Pacific Coast",32.5876908770453,-117.1335,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",158.694,39
"Indianajo_Waterway","Mussel Watch","Lake Michigan","Burns Harbor","Indiana","Great Lakes",41.64187,-87.1508,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",499.436,39
"LARM","Mussel Watch","Los Angeles","River mouth","California","Pacific Coast",33.7552707305035,-118.194990223988,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",996.15,39
"LBBW","Mussel Watch","Long Beach","Breakwater","California","Pacific Coast",33.7231929856523,-118.1735,"","Mussel","Mytilus californianus","2018","ng/dry g","TDI-BI","Total PAHs",407.876,39
"LCCR","Mussel Watch","Lake St. Clair","Clinton River","Michigan","Great Lakes",42.59405,-82.77038,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",258.165,39
"LEAB","Mussel Watch","Lake Erie","Ashtabula","Ohio","Great Lakes",41.9246931836145,-80.7183068163855,"","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",88.181,39
"LEAR.01","Mussel Watch","Lake Erie","Ashtabula River","Ohio","Great Lakes",41.911717,-80.79385,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",400.435,39
"LEAR.02","Mussel Watch","Lake Erie","Ashtabula River","Ohio","Great Lakes",41.917917,-80.795617,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",331.301,39
"LEAR.03","Mussel Watch","Lake Erie","Ashtabula River","Ohio","Great Lakes",41.911983,-80.79015,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",284.455,39
"LEBR.01","Mussel Watch","Lake Erie","Black River","Ohio","Great Lakes",41.4734,-82.18285,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",561.172,39
"LEBR.02","Mussel Watch","Lake Erie","Black River","Ohio","Great Lakes",41.4773,-82.183467,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",384.005,39
"LEBR.03","Mussel Watch","Lake Erie","Black River","Ohio","Great Lakes",41.477017,-82.190033,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",247.655,39
"LECR.01","Mussel Watch","Lake Erie","Cuyahoga River","Ohio","Great Lakes",41.508233,-81.7133,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",1576.922,39
"LECR.02","Mussel Watch","Lake Erie","Cuyahoga River","Ohio","Great Lakes",41.50955,-81.7136,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",2107.416,39
"LECR.03","Mussel Watch","Lake Erie","Cuyahoga River","Ohio","Great Lakes",41.723317,-81.715783,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",2722.482,39
"LEDK","Mussel Watch","Lake Erie","Dunkirk","New York","Great Lakes",42.5291940319575,-79.2776940319575,"","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",98.839,39
"LELR","Mussel Watch","Lake Erie","Lorain","Ohio","Great Lakes",41.461189615181,-82.207,"","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",197.908,39
"LEMR.03","Mussel Watch","Lake Erie","Maumee River","Ohio","Great Lakes",41.76183,-83.32868,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",110.634,39
"LEPB.06","Mussel Watch","Lake Erie","Presque Isle Bay","Pennsylvania","Great Lakes",42.129783,-80.11325,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",2251.635,39
"LEPB.07","Mussel Watch","Lake Erie","Presque Isle Bay","Pennsylvania","Great Lakes",42.123467,-80.132267,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",3131.039,39
"LEPB.08","Mussel Watch","Lake Erie","Presque Isle Bay","Pennsylvania","Great Lakes",42.147583,-80.085717,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",2407.181,39
"LERB","Mussel Watch","Lake Erie","Reno Beach","Ohio","Great Lakes",41.6745,-83.2261925953063,"","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",106.605,39
"LESP","Mussel Watch","Lake Erie","Stony Point","Michigan","Great Lakes",41.9586933941968,-83.233,"","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",673.797,39
"LHBR","Mussel Watch","Lake Huron","Black River Canal","Michigan","Great Lakes",43.0443089322686,-82.4386910677314,"","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",27.138,39
"LHEB","Mussel Watch","Lake Huron","Eagle Bay","Michigan","Great Lakes",44.07058,-82.91579,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",164.067,39
"LHLB","Mussel Watch","Lake Huron","Lincoln Bay","Michigan","Great Lakes",45.13398,-83.31112,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",46.147,39
"LHTB","Mussel Watch","Lake Huron","Thunder Bay","Michigan","Great Lakes",44.9221919406967,-83.4135,"","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",349.52,39
"LHTB.01","Mussel Watch","Lake Huron","Thunder Bay","Michigan","Great Lakes",45.061517,-83.37555,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",293.497,39
"LHTB.03","Mussel Watch","Lake Huron","Thunder Bay","Michigan","Great Lakes",45.006033,-83.249833,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",140.887,39
"LHTB.05","Mussel Watch","Lake Huron","Thunder Bay","Michigan","Great Lakes",45.034683,-83.318017,"GLRI","Mussel","Dreissena species","2022","ng/dry g","TDI-BI","Total PAHs",200.774,39
"LIFI","Mussel Watch","Long Island","Fire Island Inlet","New York","North Atlantic Coast",40.6251907997068,-73.2795,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",1137.9,39
"LIHU","Mussel Watch","Long Island Sound","Huntington Harbor","New York","North Atlantic Coast",40.922,-73.4285,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1294.902,39
"LIJI","Mussel Watch","Long Island","Jones Inlet","New York","North Atlantic Coast",40.5955,-73.5866927670191,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",1405.525,39
"LIMR","Mussel Watch","Long Island Sound","Mamaroneck","New York","North Atlantic Coast",40.9418062251028,-73.7031937748972,"","Oyster","Crassostrea virginica","2021","ng/dry g","TDI-BI","Total PAHs",1392.674,39
"LIPJ","Mussel Watch","Long Island Sound","Port Jefferson","New York","North Atlantic Coast",40.9573062752345,-73.0936937247655,"","Mussel","Mytilus edulis","2021","ng/dry g","TDI-BI","Total PAHs",699.493,39
